,precision,recall,f1-score,folder,model_size
living weighted avg,0.2704128972079684,0.6720452640402347,0.380432816289371,3_4_75_1000,0.9835281409132801
accuracy,0.914772919700613,0.914772919700613,0.914772919700613,2_4_25_1000,6.073196434018561
macro avg,0.7694419433321231,0.669237576562967,0.699056873883883,2_4_25_1000,6.073196434018561
weighted avg,0.9120708326215333,0.914772919700613,0.9125624612197415,2_4_25_1000,6.073196434018561
living macro avg,0.7438759474074479,0.6114431561853497,0.6524505301331387,2_4_25_1000,6.073196434018561
living weighted avg,0.6100756673825012,0.5722967309304275,0.5820708982838687,2_4_25_1000,6.073196434018561
accuracy,0.7910556439868595,0.7910556439868595,0.7910556439868595,3_5_75_1000,1.34820557148672
macro avg,0.38840207271642563,0.7438336828201122,0.48311588351866463,3_5_75_1000,1.34820557148672
weighted avg,0.8936090278694335,0.7910556439868595,0.8254187797880006,3_5_75_1000,1.34820557148672
living macro avg,0.28364904081858167,0.7099474285382348,0.3955263987116623,3_5_75_1000,1.34820557148672
living weighted avg,0.2821442703269524,0.6789606035205364,0.39352178521725595,3_5_75_1000,1.34820557148672
accuracy,0.9165678870186609,0.9165678870186609,0.9165678870186609,1_5_25_1000,12.186576889184641
macro avg,0.7770928339765362,0.672355353059939,0.7059465884965552,1_5_25_1000,12.186576889184641
weighted avg,0.9135353333444838,0.9165678870186609,0.9141317970890069,1_5_25_1000,12.186576889184641
living macro avg,0.7520123584743896,0.6138096938303652,0.6596012100734856,1_5_25_1000,12.186576889184641
living weighted avg,0.6225162979490615,0.569362950544845,0.5862867330431083,1_5_25_1000,12.186576889184641
accuracy,0.7977105699867918,0.7977105699867918,0.7977105699867918,1_5_75_1000,3.86209107900672
macro avg,0.3999797887466608,0.766729456457923,0.4977917703109565,1_5_75_1000,3.86209107900672
weighted avg,0.8950101354122251,0.7977105699867918,0.8300605946104098,1_5_75_1000,3.86209107900672
living macro avg,0.2988552437893616,0.7368332230340243,0.4135561780951065,1_5_75_1000,3.86209107900672
living weighted avg,0.29119039695836346,0.684409052808047,0.4032282150957128,1_5_75_1000,3.86209107900672
accuracy,0.8797710569986792,0.8797710569986792,0.8797710569986792,3_6_50_1000,2.3884811491372804
macro avg,0.5786456952642423,0.7140571143372954,0.6299888523240514,3_6_50_1000,2.3884811491372804
weighted avg,0.9023048559649972,0.8797710569986792,0.8878794210234349,3_6_50_1000,2.3884811491372804
living macro avg,0.5130584858198106,0.6662948713376198,0.5701871263314982,3_6_50_1000,2.3884811491372804
living weighted avg,0.4415433083348062,0.6257334450963956,0.5138333963228321,3_6_50_1000,2.3884811491372804
accuracy,0.9163816168252785,0.9163816168252785,0.9163816168252785,1_7_25_1000,15.578041135363202
macro avg,0.7688607920789384,0.6537113962802582,0.6915355857497818,1_7_25_1000,15.578041135363202
